Username,Email ID,NetID
fben,fben@wisc.edu,1012152093
jsmith,jsmith@wisc.edu,1012190334
sdickerson,sdickerson@wisc.edu,1012118021
kyoder,kyoder@wisc.edu,1012147713
ehills,ehills@wisc.edu,1012196534
jmichael,jmichael@wisc.edu,1012142039
jjolu,jjolu@wisc.edu,1012163829
aboone,aboone@wisc.edu,1012156912
abruno,abruno@wisc.edu,1012123920
djohnson,djohnson@wisc.edu,1012182340
anieves,anieves@wisc.edu,1012112055
kwalters,kwalters@wisc.edu,1012139782
jcharleso,jcharleso@wisc.edu,1012153849
ppewds,ppewds@wisc.edu,1012154367
ewitt,ewitt@wisc.edu,1012129147
troman,troman@wisc.edu,1012197671
mqhmed,mqhmed@wisc.edu,1012169384
phumphrey,phumphrey@wisc.edu,1012153330
galex,galex@wisc.edu,1012135392
acrego,acrego@wisc.edu,1012154000
mdominguez,mdominguez@wisc.edu,1012157917
hreeves,hreeves@wisc.edu,1012143241
ggraham,ggraham@wisc.edu,1012141937
wsmith,wsmith@wisc.edu,1012184392
ijohnson,ijohnson@wisc.edu,1012165532
abaker,abaker@wisc.edu,1012145342
hmedrano,hmedrano@wisc.edu,1012181906
hday,hday@wisc.edu,1012185341
kmac,kmac@wisc.edu,1012144909
bmars,bmars@wisc.edu,1012152429
csanders,csanders@wisc.edu,1012115990
hjames,hjames@wisc.edu,1012160492
gbuck,gbuck@wisc.edu,1012133745
cvella,cvella@wisc.edu,1012125432
ttim,ttim@wisc.edu,1012129370
rmichael,rmichael@wisc.edu,1012165289
vdavid,vdavid@wisc.edu,1012162401
djames,djames@wisc.edu,1012132039
mjordan,mjordan@wisc.edu,1012146362
