"Username","Email ID","NetID"
"fben","fben@wisc.edu","1012152093"
"sdickerson","sdickerson@wisc.edu","1012118021"
"jjolu","jjolu@wisc.edu","1012163829"
"aboone","aboone@wisc.edu","1012156912"
"asalter","asalter@wisc.edu","1012193093"
"anieves","anieves@wisc.edu","1012112055"
"jcharleso","jcharleso@wisc.edu","1012153849"
"ahinton","ahinton@wisc.edu","1012183500"
"troman","troman@wisc.edu","1012197671"
"mqhmed","mqhmed@wisc.edu","1012169384"
"rchambers","rchambers@wisc.edu","1012168584"
"galex","galex@wisc.edu","1012135392"
"mholder","mholder@wisc.edu","1012161333"
"acrego","acrego@wisc.edu","1012154000"
"ggraham","ggraham@wisc.edu","1012141937"
"ijohnson","ijohnson@wisc.edu","1012165532"
"bmars","bmars@wisc.edu","1012152429"
"hjames","hjames@wisc.edu","1012160492"
"cvella","cvella@wisc.edu","1012125432"
"rmichael","rmichael@wisc.edu","1012165289"
"djames","djames@wisc.edu","1012132039"
"mjordan","mjordan@wisc.edu","1012146362"
"jsmith","jsmith@wisc.edu","1012190334"
"kyoder","kyoder@wisc.edu","1012147713"
"swebster","swebster@wisc.edu","1012123431"
"ehills","ehills@wisc.edu","1012196534"
"jmichael","jmichael@wisc.edu","1012142039"
"abruno","abruno@wisc.edu","1012123920"
"djohnson","djohnson@wisc.edu","1012182340"
"kwalters","kwalters@wisc.edu","1012139782"
"ppewds","ppewds@wisc.edu","1012154367"
"ewitt","ewitt@wisc.edu","1012129147"
"bcamacho","bcamacho@wisc.edu","1012123368"
"smann","smann@wisc.edu","1012180491"
"acarty","acarty@wisc.edu","1012121425"
"acompton","acompton@wisc.edu","1012192795"
"rmill","rmill@wisc.edu","1012199973"
"phumphrey","phumphrey@wisc.edu","1012153330"
"mdominguez","mdominguez@wisc.edu","1012157917"
"hreeves","hreeves@wisc.edu","1012143241"
"tpaine","tpaine@wisc.edu","1012188747"
"wsmith","wsmith@wisc.edu","1012184392"
"abaker","abaker@wisc.edu","1012145342"
"hmedrano","hmedrano@wisc.edu","1012181906"
"hday","hday@wisc.edu","1012185341"
"kmac","kmac@wisc.edu","1012144909"
"csanders","csanders@wisc.edu","1012115990"
"gbuck","gbuck@wisc.edu","1012133745"
"ttim","ttim@wisc.edu","1012129370"
"vdavid","vdavid@wisc.edu","1012162401"
